name,genre,year,gross,released2,Release,Opening,TotalGross,Date,Distributor
The Lion King,Animation,2019,1670727580.0,2019-07-19,The Lion King,191770759.0,543638043.0,2019-07-19,Walt Disney Studios Motion Pictures
Toy Story 4,Animation,2019,1073394593.0,2019-06-21,Toy Story 4,120908065.0,434038008.0,2019-06-21,Walt Disney Studios Motion Pictures
The Secret Life of Pets 2,Animation,2019,430051293.0,2019-06-07,The Secret Life of Pets 2,46652680.0,158874395.0,2019-06-07,Universal Pictures
How to Train Your Dragon: The Hidden World,Animation,2019,525683457.0,2019-02-22,How to Train Your Dragon: The Hidden World,55022245.0,160799505.0,2019-02-22,Universal Pictures
The Lego Movie 2: The Second Part,Animation,2019,192306508.0,2019-02-08,The Lego Movie 2: The Second Part,34115335.0,105806508.0,2019-02-08,Warner Bros.
Spider-Man: Into the Spider-Verse,Animation,2018,375540831.0,2018-12-14,Spider-Man: Into the Spider-Verse,35363376.0,190241310.0,2018-12-14,Sony Pictures Entertainment (SPE)
Ralph Breaks the Internet,Animation,2018,529323962.0,2018-11-21,Ralph Breaks the Internet,56237634.0,201091711.0,2018-11-21,Walt Disney Studios Motion Pictures
The Grinch,Animation,2018,512492755.0,2018-11-09,The Grinch,67572855.0,270620950.0,2018-11-09,Universal Pictures
Smallfoot,Animation,2018,214040103.0,2018-09-28,Smallfoot,23045635.0,83240103.0,2018-09-28,Warner Bros.
Hotel Transylvania 3: Summer Vacation,Animation,2018,528583774.0,2018-07-13,Hotel Transylvania 3: Summer Vacation,44076225.0,167510016.0,2018-07-13,Sony Pictures Entertainment (SPE)
Incredibles 2,Animation,2018,1244639527.0,2018-06-15,Incredibles 2,182687905.0,608581744.0,2018-06-15,Walt Disney Studios Motion Pictures
Peter Rabbit,Animation,2018,351496066.0,2018-02-09,Peter Rabbit,25010928.0,115253424.0,2018-02-09,Sony Pictures Entertainment (SPE)
Coco,Animation,2017,807817888.0,2017-11-22,Coco,50802605.0,210460015.0,2017-11-22,Walt Disney Studios Motion Pictures
The Emoji Movie,Animation,2017,217776646.0,2017-07-28,The Emoji Movie,24531923.0,86089513.0,2017-07-28,Sony Pictures Entertainment (SPE)
Despicable Me 3,Animation,2017,1034800131.0,2017-06-30,Despicable Me 3,72434025.0,264624300.0,2017-06-30,Universal Pictures
Cars 3,Animation,2017,383930656.0,2017-06-16,Cars 3,53688680.0,152901115.0,2017-06-16,Walt Disney Studios Motion Pictures
Captain Underpants: The First Epic Movie,Animation,2017,125427681.0,2017-06-02,Captain Underpants: The First Epic Movie,23851539.0,73921000.0,2017-06-02,Twentieth Century Fox
The Boss Baby,Animation,2017,527965936.0,2017-03-31,The Boss Baby,50198902.0,175003033.0,2017-03-31,Twentieth Century Fox
The Lego Batman Movie,Animation,2017,311950384.0,2017-02-10,The Lego Batman Movie,53003468.0,175750384.0,2017-02-10,Warner Bros.
Sing,Animation,2016,634208384.0,2016-12-21,Sing,35258145.0,270395425.0,2016-12-21,Universal Pictures
Moana,Animation,2016,644411850.0,2016-11-23,Moana,56631401.0,248757044.0,2016-11-23,Walt Disney Studios Motion Pictures
Trolls,Animation,2016,346864886.0,2016-11-04,Trolls,46581142.0,153707064.0,2016-11-04,Twentieth Century Fox
Storks,Animation,2016,183388953.0,2016-09-23,Storks,21311407.0,72679278.0,2016-09-23,Warner Bros.
Sausage Party,Animation,2016,140705322.0,2016-08-12,Sausage Party,34263534.0,97685686.0,2016-08-12,Sony Pictures Entertainment (SPE)
Ice Age: Collision Course,Animation,2016,408754975.0,2016-07-22,Ice Age: Collision Course,21373064.0,64063008.0,2016-07-22,Twentieth Century Fox
