Release,Opening,Total Gross,% of Total,Theaters,Average,Date,Distributor
The Cat in the Hat,"$38,329,160 ","$101,149,285 ",37.90%,"3,464","$11,065 ",11/21/2003,Universal Pictures
Alien vs. Predator,"$38,291,056 ","$80,282,231 ",47.70%,"3,395","$11,278 ",8/13/2004,Twentieth Century Fox
The Angry Birds Movie,"$38,155,177 ","$107,509,366 ",35.50%,"3,932","$9,703 ",5/20/2016,Sony Pictures Entertainment (SPE)
The Bourne Legacy,"$38,142,825 ","$113,203,870 ",33.70%,"3,745","$10,185 ",8/10/2012,Universal Pictures
Ocean's Eleven,"$38,107,822 ","$183,417,150 ",20.80%,"3,075","$12,392 ",12/7/2001,Warner Bros.
Rango,"$38,079,323 ","$123,477,607 ",30.80%,"3,917","$9,721 ",3/4/2011,Paramount Pictures
Inglourious Basterds,"$38,054,676 ","$120,540,719 ",31.60%,"3,165","$12,023 ",8/21/2009,The Weinstein Company
Bee Movie,"$38,021,044 ","$126,631,277 ",30%,"3,928","$9,679 ",11/2/2007,DreamWorks
Ace Ventura: When Nature Calls,"$37,804,076 ","$108,385,533 ",34.90%,"2,652","$14,254 ",11/10/1995,Warner Bros.
Charlie's Angels: Full Throttle,"$37,634,221 ","$100,830,111 ",37.30%,"3,459","$10,880 ",6/27/2003,Sony Pictures Entertainment (SPE)
Hop,"$37,543,710 ","$108,085,305 ",34.70%,"3,579","$10,490 ",4/1/2011,Universal Pictures
Gone Girl,"$37,513,109 ","$167,767,189 ",22.40%,"3,014","$12,446 ",10/3/2014,Twentieth Century Fox
District 9,"$37,354,308 ","$115,646,235 ",32.30%,"3,049","$12,251 ",8/14/2009,TriStar Pictures
Pacific Rim,"$37,285,325 ","$101,802,906 ",36.60%,"3,275","$11,384 ",7/12/2013,Warner Bros.
Dungeons & Dragons: Honor Among Thieves,"$37,205,784 ","$93,277,026 ",39.90%,"3,855","$9,651 ",3/31/2023,Paramount Pictures
Mr. Deeds,"$37,162,787 ","$126,293,452 ",29.40%,"3,231","$11,501 ",6/28/2002,Sony Pictures Entertainment (SPE)
Annabelle,"$37,134,255 ","$84,273,813 ",44.10%,"3,185","$11,659 ",10/3/2014,Warner Bros.
Air Force One,"$37,132,505 ","$172,956,409 ",21.50%,"2,919","$12,720 ",7/25/1997,Sony Pictures Entertainment (SPE)
S.W.A.T.,"$37,062,535 ","$116,934,650 ",31.70%,"3,202","$11,574 ",8/8/2003,Sony Pictures Entertainment (SPE)
Oblivion,"$37,054,485 ","$89,107,235 ",41.60%,"3,783","$9,795 ",4/19/2013,Universal Pictures
Maleficent: Mistress of Evil,"$36,948,713 ","$113,929,605 ",32.40%,"3,790","$9,749 ",10/18/2019,Walt Disney Studios Motion Pictures
Red Dragon,"$36,540,945 ","$93,149,898 ",39.20%,"3,357","$10,885 ",10/4/2002,Universal Pictures
Cowboys & Aliens,"$36,431,290 ","$100,240,551 ",36.30%,"3,750","$9,715 ",7/29/2011,Universal Pictures
Freddy vs. Jason,"$36,400,000 ","$82,622,655 ",44.10%,"3,014","$12,076 ",8/15/2003,New Line Cinema
Interview with the Vampire: The Vampire Chronicles,"$36,389,705 ","$105,264,608 ",34.60%,"2,604","$13,974 ",11/11/1994,Warner Bros.
Marley & Me,"$36,357,586 ","$143,153,751 ",25.40%,"3,480","$10,447 ",12/25/2008,Twentieth Century Fox
21 Jump Street,"$36,302,612 ","$138,447,667 ",26.20%,"3,121","$11,631 ",3/16/2012,Sony Pictures Entertainment (SPE)
Kingsman: The Secret Service,"$36,206,331 ","$128,261,724 ",28.20%,"3,204","$11,300 ",2/13/2015,Twentieth Century Fox
Jumanji: Welcome to the Jungle,"$36,169,328 ","$404,515,480 ",8.90%,"3,765","$9,606 ",12/20/2017,Sony Pictures Entertainment (SPE)
Alien: Covenant,"$36,160,621 ","$74,262,031 ",48.70%,"3,761","$9,614 ",5/19/2017,Twentieth Century Fox
Ocean's Thirteen,"$36,133,403 ","$117,154,724 ",30.80%,"3,565","$10,135 ",6/8/2007,Warner Bros.
Dumb and Dumber To,"$36,111,775 ","$86,208,010 ",41.90%,"3,154","$11,449 ",11/14/2014,Universal Pictures
Armageddon,"$36,089,972 ","$201,578,182 ",17.90%,"3,127","$11,541 ",7/1/1998,Walt Disney Studios Motion Pictures
The Scorpion King,"$36,075,875 ","$91,047,077 ",39.60%,"3,444","$10,474 ",4/19/2002,Universal Pictures
Robin Hood,"$36,063,385 ","$105,269,730 ",34.30%,"3,503","$10,295 ",5/14/2010,Universal Pictures
Robots,"$36,045,301 ","$128,200,012 ",28.10%,"3,776","$9,545 ",3/11/2005,Twentieth Century Fox
The Equalizer 2,"$36,011,640 ","$102,084,362 ",35.30%,"3,388","$10,629 ",7/20/2018,Sony Pictures Entertainment (SPE)
Salt,"$36,011,243 ","$118,311,368 ",30.40%,"3,612","$9,969 ",7/23/2010,Sony Pictures Entertainment (SPE)
Star Wars: Episode IV - A New Hope,"$35,906,661 ","$138,257,865 ",26%,"2,104","$17,065 ",1/31/1997,Twentieth Century Fox
1997 Special Edition,,,,,,,
"10,000 BC","$35,867,488 ","$94,784,201 ",37.80%,"3,410","$10,518 ",3/7/2008,Warner Bros.
Rampage,"$35,753,093 ","$101,028,233 ",35.40%,"4,101","$8,718 ",4/13/2018,Warner Bros.
Minority Report,"$35,677,125 ","$132,072,926 ",27%,"3,001","$11,888 ",6/21/2002,Twentieth Century Fox
Sweet Home Alabama,"$35,648,740 ","$127,223,418 ",28%,"3,293","$10,825 ",9/27/2002,Walt Disney Studios Motion Pictures
The Smurfs,"$35,611,637 ","$142,614,158 ",25%,"3,395","$10,489 ",7/29/2011,Sony Pictures Entertainment (SPE)
Creed II,"$35,574,710 ","$115,715,889 ",30.70%,"3,441","$10,338 ",11/21/2018,Metro-Goldwyn-Mayer (MGM)
Battle Los Angeles,"$35,573,187 ","$83,552,429 ",42.60%,"3,417","$10,410 ",3/11/2011,Sony Pictures Entertainment (SPE)
The Other Guys,"$35,543,162 ","$119,219,978 ",29.80%,"3,651","$9,735 ",8/6/2010,Sony Pictures Entertainment (SPE)
Central Intelligence,"$35,535,250 ","$127,440,871 ",27.90%,"3,508","$10,129 ",6/17/2016,Warner Bros.
The World Is Not Enough,"$35,519,007 ","$126,943,684 ",28%,"3,163","$11,229 ",11/19/1999,Metro-Goldwyn-Mayer (MGM)
Super 8,"$35,451,168 ","$127,004,179 ",27.90%,"3,379","$10,491 ",6/10/2011,Paramount Pictures
Spider-Man: Into the Spider-Verse,"$35,363,376 ","$190,241,310 ",18.60%,"3,813","$9,274 ",12/14/2018,Sony Pictures Entertainment (SPE)
Teenage Mutant Ninja Turtles: Out of the Shadows,"$35,316,382 ","$82,051,601 ",43%,"4,071","$8,675 ",6/3/2016,Paramount Pictures
Lilo & Stitch,"$35,260,212 ","$145,794,338 ",24.20%,"3,191","$11,049 ",6/21/2002,Walt Disney Studios Motion Pictures
Sing,"$35,258,145 ","$270,395,425 ",13%,"4,022","$8,766 ",12/21/2016,Universal Pictures
Ride Along 2,"$35,243,095 ","$91,221,830 ",38.60%,"3,175","$11,100 ",1/15/2016,Universal Pictures
National Treasure,"$35,142,554 ","$173,008,894 ",20.30%,"3,017","$11,648 ",11/19/2004,Walt Disney Studios Motion Pictures
The Ring Two,"$35,065,237 ","$76,231,249 ",46%,"3,332","$10,523 ",3/18/2005,DreamWorks Distribution
Runaway Bride,"$35,055,556 ","$152,257,509 ",23%,"3,158","$11,100 ",7/30/1999,Paramount Pictures
Sully,"$35,028,301 ","$125,070,033 ",28%,"3,525","$9,937 ",9/9/2016,Warner Bros.
Jungle Cruise,"$35,018,731 ","$116,987,516 ",29.90%,"4,310","$8,124 ",7/30/2021,Walt Disney Studios Motion Pictures
Annabelle: Creation,"$35,006,404 ","$102,092,201 ",34.30%,"3,502","$9,996 ",8/11/2017,Warner Bros.
Mamma Mia! Here We Go Again,"$34,952,180 ","$120,634,935 ",29%,"3,317","$10,537 ",7/20/2018,Universal Pictures
The Expendables,"$34,825,135 ","$103,068,524 ",33.80%,"3,270","$10,649 ",8/13/2010,Lions Gate Films
Gladiator,"$34,819,017 ","$187,705,427 ",18.60%,"2,938","$11,851 ",5/5/2000,DreamWorks Distribution
Scream 3,"$34,713,342 ","$89,143,175 ",38.90%,"3,467","$10,012 ",2/4/2000,Dimension Films
The Magnificent Seven,"$34,703,397 ","$93,432,655 ",37.10%,"3,674","$9,445 ",9/23/2016,Sony Pictures Entertainment (SPE)
The Equalizer 3,"$34,604,229 ","$92,373,751 ",37.50%,"3,965","$8,727 ",9/1/2023,Columbia Pictures
Identity Thief,"$34,551,025 ","$134,506,920 ",25.70%,"3,141","$11,000 ",2/8/2013,Universal Pictures
Hellboy II: The Golden Army,"$34,539,115 ","$75,986,503 ",45.40%,"3,204","$10,779 ",7/11/2008,Universal Pictures
Enchanted,"$34,440,317 ","$127,807,262 ",27%,"3,730","$9,233 ",11/21/2007,Walt Disney Studios Motion Pictures
Couples Retreat,"$34,286,740 ","$109,204,945 ",31.40%,"3,000","$11,428 ",10/9/2009,Universal Pictures
Sausage Party,"$34,263,534 ","$97,685,686 ",35.10%,"3,103","$11,042 ",8/12/2016,Sony Pictures Entertainment (SPE)
I Now Pronounce You Chuck & Larry,"$34,233,750 ","$120,059,556 ",28.50%,"3,495","$9,795 ",7/20/2007,Universal Pictures
Tarzan,"$34,221,968 ","$171,091,819 ",20%,"3,005","$11,388 ",6/16/1999,Walt Disney Studios Motion Pictures
Ransom,"$34,216,088 ","$136,492,681 ",25.10%,"2,676","$12,786 ",11/8/1996,Walt Disney Studios Motion Pictures
Norbit,"$34,195,434 ","$95,673,607 ",35.70%,"3,136","$10,904 ",2/9/2007,DreamWorks
The Equalizer,"$34,137,828 ","$101,530,738 ",33.60%,"3,236","$10,549 ",9/26/2014,Sony Pictures Entertainment (SPE)
The Blind Side,"$34,119,372 ","$255,959,475 ",13.30%,"3,110","$10,970 ",11/20/2009,Warner Bros.
The Lego Movie 2: The Second Part,"$34,115,335 ","$105,806,508 ",32.20%,"4,303","$7,928 ",2/8/2019,Warner Bros.
Puss in Boots,"$34,077,439 ","$149,260,504 ",22.80%,"3,952","$8,622 ",10/28/2011,DreamWorks
The Purge,"$34,058,360 ","$64,473,115 ",52.80%,"2,536","$13,429 ",6/7/2013,Universal Pictures
Lethal Weapon 4,"$34,048,124 ","$130,444,603 ",26.10%,"3,117","$10,923 ",7/10/1998,Warner Bros.
Cloudy with a Chance of Meatballs 2,"$34,017,930 ","$119,793,567 ",28.40%,"4,001","$8,502 ",9/27/2013,Sony Pictures Entertainment (SPE)
Get Hard,"$33,803,253 ","$90,411,453 ",37.40%,"3,175","$10,646 ",3/27/2015,Warner Bros.
The Devil Inside,"$33,732,515 ","$53,261,944 ",63.30%,"2,285","$14,762 ",1/6/2012,Paramount Pictures
Think Like a Man,"$33,636,303 ","$91,547,205 ",36.70%,"2,015","$16,692 ",4/20/2012,Screen Gems
The Proposal,"$33,627,598 ","$163,958,031 ",20.50%,"3,056","$11,003 ",6/19/2009,Walt Disney Studios Motion Pictures
What Women Want,"$33,614,543 ","$182,811,707 ",18.40%,"3,012","$11,160 ",12/15/2000,Paramount Pictures
Saw III,"$33,610,391 ","$80,238,724 ",41.90%,"3,167","$10,612 ",10/27/2006,Lions Gate Films
Epic,"$33,531,068 ","$107,518,682 ",31.20%,"3,882","$8,637 ",5/24/2013,Twentieth Century Fox
The Green Hornet,"$33,526,876 ","$98,780,042 ",33.90%,"3,584","$9,354 ",1/14/2011,Sony Pictures Entertainment (SPE)
Ted 2,"$33,507,870 ","$81,476,385 ",41.10%,"3,442","$9,735 ",6/26/2015,Universal Pictures
101 Dalmatians,"$33,504,025 ","$136,189,294 ",24.60%,"2,794","$11,991 ",11/27/1996,Walt Disney Studios Motion Pictures
Wrath of the Titans,"$33,457,188 ","$83,670,083 ",40%,"3,545","$9,437 ",3/30/2012,Warner Bros.
The Haunting,"$33,435,140 ","$91,411,151 ",36.60%,"2,808","$11,907 ",7/23/1999,DreamWorks Distribution
Get Out,"$33,377,060 ","$176,040,665 ",19%,"2,781","$12,001 ",2/24/2017,Universal Pictures
Live Free or Die Hard,"$33,369,559 ","$134,529,403 ",24.80%,"3,408","$9,791 ",6/27/2007,Twentieth Century Fox
American Wedding,"$33,369,440 ","$104,565,114 ",31.90%,"3,172","$10,520 ",8/1/2003,Universal Pictures
Lethal Weapon 3,"$33,243,086 ","$144,731,527 ",23%,"2,510","$13,244 ",5/15/1992,Warner Bros.
Hustlers,"$33,181,361 ","$104,963,598 ",31.60%,"3,250","$10,209 ",9/13/2019,STX Entertainment
A Wrinkle in Time,"$33,123,609 ","$100,478,608 ",33%,"3,980","$8,322 ",3/9/2018,Walt Disney Studios Motion Pictures
Superbad,"$33,052,411 ","$121,463,226 ",27.20%,"2,948","$11,211 ",8/17/2007,Sony Pictures Entertainment (SPE)
Tomorrowland,"$33,028,165 ","$93,436,322 ",35.40%,"3,972","$8,315 ",5/22/2015,Walt Disney Studios Motion Pictures
Blades of Glory,"$33,014,202 ","$118,594,548 ",27.80%,"3,372","$9,790 ",3/30/2007,DreamWorks
Insidious: The Red Door,"$33,013,036 ","$82,156,962 ",40.20%,"3,188","$10,355 ",7/7/2023,Screen Gems
Birds of Prey,"$33,010,017 ","$84,158,461 ",39.20%,"4,236","$7,792 ",2/7/2020,Warner Bros.
Rush Hour,"$33,001,803 ","$141,186,864 ",23.40%,"2,638","$12,510 ",9/18/1998,New Line Cinema
Scream 2,"$32,926,342 ","$101,363,301 ",32.50%,"2,663","$12,364 ",12/12/1997,Dimension Films
A Nightmare on Elm Street,"$32,902,299 ","$63,075,011 ",52.20%,"3,332","$9,874 ",4/30/2010,Warner Bros.
Dark Phoenix,"$32,828,348 ","$65,845,974 ",49.90%,"3,721","$8,822 ",6/7/2019,Twentieth Century Fox
The Book of Eli,"$32,789,494 ","$94,835,059 ",34.60%,"3,111","$10,539 ",1/15/2010,Warner Bros.
Blade Runner 2049,"$32,753,122 ","$92,054,159 ",35.60%,"4,058","$8,071 ",10/6/2017,Warner Bros.
Where the Wild Things Are,"$32,695,407 ","$77,233,467 ",42.30%,"3,735","$8,753 ",10/16/2009,Warner Bros.
Due Date,"$32,689,406 ","$100,539,043 ",32.50%,"3,355","$9,743 ",11/5/2010,Warner Bros.
The Nun II,"$32,603,336 ","$86,267,073 ",37.80%,"3,728","$8,745 ",9/8/2023,Warner Bros.
Blade II,"$32,528,016 ","$82,348,319 ",39.50%,"2,707","$12,016 ",3/22/2002,New Line Cinema
The Maze Runner,"$32,512,804 ","$102,427,862 ",31.70%,"3,604","$9,021 ",9/19/2014,Twentieth Century Fox
Spy Kids 3: Game Over,"$32,500,000 ","$111,761,982 ",29.10%,"3,344","$9,718 ",7/25/2003,Dimension Films
Hannah Montana: The Movie,"$32,324,487 ","$79,576,189 ",40.60%,"3,118","$10,367 ",4/10/2009,Walt Disney Studios Motion Pictures
Mr. Peabody & Sherman,"$32,207,057 ","$111,506,430 ",28.90%,"3,934","$8,186 ",3/7/2014,Twentieth Century Fox
Immortals,"$32,206,425 ","$83,504,017 ",38.60%,"3,112","$10,349 ",11/11/2011,Relativity Media
Wedding Crashers,"$32,200,000 ","$209,255,921 ",15.40%,"2,925","$11,008 ",7/15/2005,New Line Cinema
Elf,"$32,100,000 ","$173,398,518 ",18.50%,"3,337","$9,619 ",11/7/2003,New Line Cinema
Jackass Presents: Bad Grandpa,"$32,055,177 ","$102,003,019 ",31.40%,"3,336","$9,608 ",10/25/2013,Paramount Pictures
The SpongeBob SquarePants Movie,"$32,018,216 ","$85,417,988 ",37.50%,"3,212","$9,968 ",11/19/2004,Paramount Pictures
Paul Blart: Mall Cop,"$31,832,636 ","$146,336,178 ",21.80%,"3,144","$10,124 ",1/16/2009,Sony Pictures Entertainment (SPE)
Terminator 2: Judgment Day,"$31,765,506 ","$204,843,345 ",15.50%,"2,274","$13,969 ",7/3/1991,TriStar Pictures
Saw IV,"$31,756,764 ","$63,300,095 ",50.20%,"3,183","$9,976 ",10/26/2007,Lions Gate Films
Saw II,"$31,725,652 ","$87,039,965 ",36.40%,"2,949","$10,758 ",10/28/2005,Lions Gate Films
G-Force,"$31,706,934 ","$119,436,770 ",26.60%,"3,697","$8,576 ",7/24/2009,Walt Disney Studios Motion Pictures
The Mummy,"$31,688,375 ","$80,227,895 ",39.50%,"4,035","$7,853 ",6/9/2017,Universal Pictures
Godzilla vs. Kong,"$31,625,971 ","$100,916,094 ",31.30%,"3,064","$10,321 ",3/31/2021,Warner Bros.
Bad Teacher,"$31,603,106 ","$100,292,856 ",31.50%,"3,049","$10,365 ",6/24/2011,Sony Pictures Entertainment (SPE)
The Truman Show,"$31,542,121 ","$125,618,201 ",25.10%,"2,315","$13,625 ",6/5/1998,Paramount Pictures
The Purge: Election Year,"$31,515,110 ","$79,213,375 ",39.80%,"2,796","$11,271 ",7/1/2016,Universal Pictures
The Wolfman,"$31,479,235 ","$61,979,680 ",50.80%,"3,222","$9,770 ",2/12/2010,Universal Pictures
Ford v Ferrari,"$31,474,958 ","$117,624,357 ",26.80%,"3,528","$8,921 ",11/15/2019,Twentieth Century Fox
Liar Liar,"$31,423,025 ","$181,410,615 ",17.30%,"2,845","$11,045 ",3/21/1997,Universal Pictures
Percy Jackson & the Olympians: The Lightning Thief,"$31,236,067 ","$88,768,303 ",35.20%,"3,356","$9,307 ",2/12/2010,Twentieth Century Fox
Elvis,"$31,211,579 ","$151,040,048 ",20.70%,"3,906","$7,990 ",6/24/2022,Warner Bros.
Girls Trip,"$31,201,920 ","$115,171,585 ",27.10%,"2,591","$12,042 ",7/21/2017,Universal Pictures
Evan Almighty,"$31,192,615 ","$100,462,298 ",31%,"3,604","$8,654 ",6/22/2007,Universal Pictures
The Sum of All Fears,"$31,178,526 ","$118,907,036 ",26.20%,"3,183","$9,795 ",5/31/2002,Paramount Pictures
Home Alone 2: Lost in New York,"$31,126,882 ","$173,585,516 ",17.90%,"2,222","$14,008 ",11/20/1992,Twentieth Century Fox
Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,"$31,117,834 ","$65,281,781 ",47.70%,683,"$45,560 ",2/1/2008,Walt Disney Studios Motion Pictures
Bringing Down the House,"$31,101,026 ","$132,716,677 ",23.40%,"2,801","$11,103 ",3/7/2003,Walt Disney Studios Motion Pictures
Four Christmases,"$31,069,826 ","$120,146,040 ",25.90%,"3,310","$9,386 ",11/26/2008,Warner Bros.
Space Jam: A New Legacy,"$31,053,362 ","$70,592,228 ",44%,"3,965","$7,831 ",7/16/2021,Warner Bros.
Into the Woods,"$31,051,923 ","$128,002,372 ",24.30%,"2,440","$12,726 ",12/25/2014,Walt Disney Studios Motion Pictures
Pokémon: The First Movie - Mewtwo Strikes Back,"$31,036,678 ","$85,744,662 ",36.20%,"3,043","$10,199 ",11/10/1999,Warner Bros.
Downton Abbey,"$31,033,665 ","$96,853,865 ",32%,"3,079","$10,079 ",9/20/2019,Focus Features
Sex and the City 2,"$31,001,870 ","$95,347,692 ",32.50%,"3,445","$8,999 ",5/27/2010,Warner Bros.
Step Brothers,"$30,940,732 ","$100,468,793 ",30.80%,"3,094","$10,000 ",7/25/2008,Sony Pictures Entertainment (SPE)
Little Fockers,"$30,833,665 ","$148,438,600 ",20.80%,"3,536","$8,719 ",12/22/2010,Universal Pictures
Star Trek: First Contact,"$30,716,131 ","$92,027,888 ",33.40%,"2,812","$10,923 ",11/22/1996,Paramount Pictures
Knocked Up,"$30,690,990 ","$148,768,917 ",20.60%,"2,871","$10,690 ",6/1/2007,Universal Pictures
The Dukes of Hazzard,"$30,675,314 ","$80,270,227 ",38.20%,"3,785","$8,104 ",8/5/2005,Warner Bros.
Unbroken,"$30,621,445 ","$115,637,895 ",26.50%,"3,131","$9,780 ",12/25/2014,Universal Pictures
Brüno,"$30,619,130 ","$60,054,530 ",51%,"2,756","$11,109 ",7/10/2009,Universal Pictures
Saving Private Ryan,"$30,576,104 ","$216,540,909 ",14.10%,"2,463","$12,414 ",7/24/1998,DreamWorks Distribution
The Pacifier,"$30,552,694 ","$113,086,868 ",27%,"3,131","$9,758 ",3/4/2005,Walt Disney Studios Motion Pictures
Bram Stoker's Dracula,"$30,521,679 ","$82,522,790 ",37%,"2,491","$12,252 ",11/13/1992,Columbia Pictures
The Happening,"$30,517,109 ","$64,506,874 ",47.30%,"2,986","$10,220 ",6/13/2008,Twentieth Century Fox
Just Go with It,"$30,514,732 ","$103,028,109 ",29.60%,"3,548","$8,600 ",2/11/2011,Sony Pictures Entertainment (SPE)
The Day the Earth Stood Still,"$30,480,153 ","$79,366,978 ",38.40%,"3,560","$8,561 ",12/12/2008,Twentieth Century Fox
Dear John,"$30,468,614 ","$80,014,842 ",38.10%,"2,969","$10,262 ",2/5/2010,Screen Gems
The Lost City,"$30,453,269 ","$105,344,029 ",28.90%,"4,253","$7,160 ",3/25/2022,Paramount Pictures
John Wick: Chapter 2,"$30,436,123 ","$92,029,184 ",33.10%,"3,113","$9,777 ",2/10/2017,Lions Gate Films
Night at the Museum,"$30,433,781 ","$250,863,268 ",12.10%,"3,685","$8,258 ",12/22/2006,Twentieth Century Fox
M3GAN,"$30,429,860 ","$95,043,350 ",32%,"3,509","$8,671 ",1/6/2023,Universal Pictures
Olympus Has Fallen,"$30,373,794 ","$98,925,640 ",30.70%,"3,098","$9,804 ",3/22/2013,FilmDistrict
Unbreakable,"$30,330,771 ","$95,011,339 ",31.90%,"2,708","$11,200 ",11/22/2000,Walt Disney Studios Motion Pictures
Maze Runner: The Scorch Trials,"$30,316,510 ","$81,697,192 ",37.10%,"3,791","$7,996 ",9/18/2015,Twentieth Century Fox
Cloudy with a Chance of Meatballs,"$30,304,648 ","$124,870,275 ",24.30%,"3,119","$9,716 ",9/18/2009,Sony Pictures Entertainment (SPE)
The Addams Family,"$30,300,007 ","$100,044,905 ",30.30%,"4,007","$7,561 ",10/11/2019,United Artists Releasing
America's Sweethearts,"$30,181,877 ","$93,607,673 ",32.20%,"3,011","$10,023 ",7/20/2001,Revolution Studios
John Carter,"$30,180,188 ","$73,078,100 ",41.30%,"3,749","$8,050 ",3/9/2012,Walt Disney Studios Motion Pictures
The X Files,"$30,138,758 ","$83,898,313 ",35.90%,"2,629","$11,463 ",6/19/1998,Twentieth Century Fox
Django Unchained,"$30,122,888 ","$162,805,434 ",18.50%,"3,010","$10,007 ",12/25/2012,The Weinstein Company
Shazam! Fury of the Gods,"$30,111,158 ","$57,638,006 ",52.20%,"4,071","$7,396 ",3/17/2023,Warner Bros.
The Best Man Holiday,"$30,107,555 ","$70,525,195 ",42.70%,"2,024","$14,875 ",11/15/2013,Universal Pictures
Trainwreck,"$30,097,040 ","$110,212,700 ",27.30%,"3,158","$9,530 ",7/17/2015,Universal Pictures
Prince of Persia: The Sands of Time,"$30,095,259 ","$90,759,676 ",33.20%,"3,646","$8,254 ",5/28/2010,Walt Disney Studios Motion Pictures
Dodgeball: A True Underdog Story,"$30,070,196 ","$114,326,736 ",26.30%,"2,694","$11,161 ",6/18/2004,Twentieth Century Fox
A Series of Unfortunate Events,"$30,061,756 ","$118,634,549 ",25.30%,"3,620","$8,304 ",12/17/2004,Paramount Pictures
Sleepy Hollow,"$30,060,467 ","$101,071,502 ",29.70%,"3,064","$9,810 ",11/19/1999,Paramount Pictures
Panic Room,"$30,056,751 ","$96,397,334 ",31.20%,"3,053","$9,844 ",3/29/2002,Sony Pictures Entertainment (SPE)
The Exorcism of Emily Rose,"$30,054,300 ","$75,072,454 ",40%,"2,981","$10,081 ",9/9/2005,Screen Gems
Saw V,"$30,053,954 ","$56,746,769 ",53%,"3,060","$9,821 ",10/24/2008,Lions Gate Films
Catch Me If You Can,"$30,053,627 ","$164,615,351 ",18.30%,"3,156","$9,522 ",12/25/2002,DreamWorks Distribution
A Christmas Carol,"$30,051,075 ","$137,855,863 ",21.80%,"3,683","$8,159 ",11/6/2009,Walt Disney Studios Motion Pictures
Men in Black: International,"$30,035,838 ","$80,001,807 ",37.50%,"4,224","$7,110 ",6/14/2019,Sony Pictures Entertainment (SPE)
Madea's Family Reunion,"$30,030,661 ","$63,257,940 ",47.50%,"2,194","$13,687 ",2/24/2006,Lions Gate Films
Bullet Train,"$30,030,156 ","$103,368,602 ",29%,"4,357","$6,892 ",8/5/2022,Sony Pictures Entertainment (SPE)
Scream,"$30,018,805 ","$81,641,405 ",36.80%,"3,664","$8,192 ",1/14/2022,Paramount Pictures
Meg 2: The Trench,"$30,002,735 ","$82,600,317 ",36.30%,"3,503","$8,564 ",8/4/2023,Warner Bros.
Trolls Band Together,"$30,002,525 ","$76,474,100 ",39.20%,"3,870","$7,752 ",11/17/2023,Universal Pictures
The Purge: Anarchy,"$29,816,675 ","$71,962,800 ",41.40%,"2,805","$10,629 ",7/18/2014,Universal Pictures
Elysium,"$29,807,393 ","$93,050,117 ",32%,"3,284","$9,076 ",8/9/2013,TriStar Pictures
Hercules,"$29,800,263 ","$72,688,614 ",41%,"3,595","$8,289 ",7/25/2014,Paramount Pictures
Constantine,"$29,769,098 ","$75,976,178 ",39.20%,"3,006","$9,903 ",2/18/2005,Warner Bros.
What Lies Beneath,"$29,702,959 ","$155,464,351 ",19.10%,"2,813","$10,559 ",7/21/2000,DreamWorks Distribution
The Flintstones,"$29,688,730 ","$130,531,208 ",22.70%,"2,498","$11,885 ",5/27/1994,Universal Pictures
Dark Shadows,"$29,685,274 ","$79,727,149 ",37.20%,"3,755","$7,905 ",5/11/2012,Warner Bros.
Daddy's Home 2,"$29,651,193 ","$104,029,443 ",28.50%,"3,575","$8,294 ",11/10/2017,Paramount Pictures
Creed,"$29,632,823 ","$109,767,581 ",27%,"3,404","$8,705 ",11/25/2015,Warner Bros.
Elemental,"$29,602,429 ","$154,426,697 ",19.20%,"4,035","$7,336 ",6/16/2023,Walt Disney Studios Motion Pictures
Insidious: The Last Key,"$29,581,355 ","$67,745,330 ",43.70%,"3,116","$9,493 ",1/5/2018,Universal Pictures
Justin Bieber: Never Say Never,"$29,514,054 ","$73,013,910 ",40.40%,"3,105","$9,505 ",2/11/2011,Paramount Pictures
Ghostbusters II,"$29,472,894 ","$112,494,738 ",26.20%,"2,410","$12,229 ",6/16/1989,Columbia Pictures
Scooby-Doo 2: Monsters Unleashed,"$29,438,331 ","$84,216,833 ",35%,"3,312","$8,888 ",3/26/2004,Warner Bros.
Indiana Jones and the Last Crusade,"$29,355,021 ","$197,171,806 ",14.90%,"2,327","$12,614 ",5/24/1989,Paramount Pictures
A.I. Artificial Intelligence,"$29,352,630 ","$78,616,689 ",37.30%,"3,242","$9,053 ",6/29/2001,Warner Bros.
Now You See Me,"$29,350,389 ","$117,723,989 ",24.90%,"2,925","$10,034 ",5/31/2013,Lions Gate Films
Beverly Hills Chihuahua,"$29,300,465 ","$94,514,402 ",31%,"3,215","$9,113 ",10/3/2008,Walt Disney Studios Motion Pictures
Why Did I Get Married Too?,"$29,289,537 ","$60,095,852 ",48.70%,"2,155","$13,591 ",4/2/2010,Lions Gate Films
Think Like a Man Too,"$29,241,911 ","$65,182,182 ",44.90%,"2,225","$13,142 ",6/20/2014,Screen Gems
The Muppets,"$29,239,026 ","$88,631,237 ",33%,"3,440","$8,499 ",11/23/2011,Walt Disney Studios Motion Pictures
The Lone Ranger,"$29,210,849 ","$89,302,115 ",32.70%,"3,904","$7,482 ",7/3/2013,Walt Disney Studios Motion Pictures
Eagle Eye,"$29,150,721 ","$101,440,743 ",28.70%,"3,510","$8,305 ",9/26/2008,DreamWorks
Toy Story,"$29,140,617 ","$191,796,233 ",15.20%,"2,457","$11,860 ",11/22/1995,Walt Disney Studios Motion Pictures
