name,genre,year,gross,released2
Sunrise in Heaven,Drama,2019,,2019-04-09
Pet Sematary,Horror,2019,113118226.0,2019-04-05
Romeo Akbar Walter,Action,2019,6111065.0,2019-04-05
The Wind,Horror,2018,130974.0,2019-04-05
Storm Boy,Drama,2019,4393018.0,2019-04-05
Shazam!,Action,2019,365971656.0,2019-04-05
The Best of Enemies,Biography,2019,10209813.0,2019-04-05
Junglee,Action,2019,4033587.0,2019-03-29
The Least of These: The Graham Staines Story,Drama,2019,695164.0,2019-03-29
Hotel Mumbai,Action,2018,21315827.0,2019-03-29
Dumbo,Adventure,2019,353284621.0,2019-03-29
The Beach Bum,Comedy,2019,4554416.0,2019-03-29
Unplanned,Biography,2019,21354152.0,2019-03-29
Triple Threat,Action,2019,345900.0,2019-03-29
Cliffs of Freedom,Drama,2019,300842.0,2019-03-22
Us,Horror,2019,255184580.0,2019-03-22
Gloria Bell,Comedy,2018,11145006.0,2019-03-22
Money,Crime,2019,155732.0,2019-03-22
Out of Blue,Crime,2018,242847.0,2019-03-22
The Hummingbird Project,Drama,2018,878199.0,2019-03-22
Captive State,Action,2019,8808611.0,2019-03-15
Five Feet Apart,Drama,2019,91527795.0,2019-03-15
Wonder Park,Animation,2019,119559110.0,2019-03-15
The Aftermath,Drama,2019,9215591.0,2019-03-15
No Manches Frida 2,Comedy,2019,26493648.0,2019-03-15
Photograph,Drama,2019,996171.0,2019-03-15
The Kid,Biography,2019,1561698.0,2019-03-08
Captain Marvel,Action,2019,1128462972.0,2019-03-08
Luka Chuppi,Comedy,2019,14256199.0,2019-03-01
Greta,Drama,2018,18653107.0,2019-03-01
Play the Flute,Drama,2019,254475.0,2019-03-01
A Madea Family Funeral,Comedy,2019,74747725.0,2019-03-01
Sonchiriya,Action,2019,914565.0,2019-03-01
The Hole in the Ground,Drama,2019,3373474.0,2019-02-26
Furie,Action,2019,5756185.0,2019-02-22
Fighting with My Family,Biography,2019,40811919.0,2019-02-22
How to Train Your Dragon: The Hidden World,Animation,2019,525683457.0,2019-02-22
Total Dhamaal,Action,2019,26911995.0,2019-02-22
At Eternity's Gate,Biography,2018,11473638.0,2019-02-15
Gully Boy,Drama,2019,28141995.0,2019-02-14
Alita: Battle Angel,Action,2019,404980543.0,2019-02-14
Isn't It Romantic,Comedy,2019,48791187.0,2019-02-13
Alone/Together,Drama,2019,271101.0,2019-02-13
Happy Death Day 2U,Comedy,2019,64600152.0,2019-02-13
Piranhas,Crime,2019,2298525.0,2019-02-13
Lords of Chaos,Biography,2018,365353.0,2019-02-08
Everybody Knows,Crime,2018,19176163.0,2019-02-08
What Men Want,Comedy,2019,72216294.0,2019-02-08
The Lego Movie 2: The Second Part,Animation,2019,192306508.0,2019-02-08
Cold Pursuit,Action,2019,76419755.0,2019-02-08
The Prodigy,Fantasy,2019,21150265.0,2019-02-08
The Wandering Earth,Action,2019,699992512.0,2019-02-05
Ek Ladki Ko Dekha Toh Aisa Laga,Comedy,2019,3531837.0,2019-02-01
Miss Bala,Action,2019,15383580.0,2019-02-01
Arctic,Adventure,2018,4165776.0,2019-01-31
Serenity,Drama,2019,14454622.0,2019-01-25
The Kid Who Would Be King,Action,2019,32140970.0,2019-01-25
Glass,Drama,2019,246999039.0,2019-01-18
An Acceptable Loss,Drama,2018,32427.0,2019-01-18
Dragon Ball Super: Broly,Animation,2018,115757940.0,2019-01-16
Stan & Ollie,Biography,2018,24420923.0,2019-01-11
The Upside,Comedy,2017,125856180.0,2019-01-11
Replicas,Drama,2018,9330075.0,2019-01-11
On the Basis of Sex,Biography,2018,38755900.0,2019-01-11
The Untold Story,Comedy,2019,790.0,2019-01-11
A Dog's Way Home,Adventure,2019,80708134.0,2019-01-11
Escape Room,Action,2019,155712077.0,2019-01-04
Wildlife,Drama,2018,3321367.0,2019-01-01
Dahmer,Biography,2002,144008.0,2019-01-01
Destroyer,Action,2018,5580940.0,2018-12-27
If Beale Street Could Talk,Drama,2018,20596567.0,2018-12-25
Holmes & Watson,Comedy,2018,40466970.0,2018-12-25
Vice,Biography,2018,76073488.0,2018-12-25
Second Act,Comedy,2018,72294066.0,2018-12-21
Aquaman,Action,2018,1148485886.0,2018-12-21
Bumblebee,Action,2018,467989645.0,2018-12-21
Welcome to Marwen,Biography,2018,13061491.0,2018-12-21
Mary Queen of Scots,Biography,2018,46712809.0,2018-12-21
The Favourite,Biography,2018,95918706.0,2018-12-21
Summer '03,Comedy,2018,11746.0,2018-12-20
Colette,Biography,2018,14273033.0,2018-12-20
Vox Lux,Drama,2018,1399272.0,2018-12-20
Mary Poppins Returns,Comedy,2018,349546142.0,2018-12-19
Spider-Man: Into the Spider-Verse,Animation,2018,375540831.0,2018-12-14
Mortal Engines,Action,2018,83869818.0,2018-12-14
The Mule,Crime,2018,174804407.0,2018-12-14
The Quake,Action,2018,13837294.0,2018-12-14
The Possession of Hannah Grace,Horror,2018,43016528.0,2018-11-30
Shoplifters,Crime,2018,67999335.0,2018-11-23
Creed II,Drama,2018,214215889.0,2018-11-21
Ralph Breaks the Internet,Animation,2018,529323962.0,2018-11-21
Robin Hood,Action,2018,86493046.0,2018-11-21
A Private War,Biography,2018,3915207.0,2018-11-16
Fantastic Beasts: The Crimes of Grindelwald,Adventure,2018,654855901.0,2018-11-16
Widows,Crime,2018,75984700.0,2018-11-16
The Clovehitch Killer,Crime,2018,167994.0,2018-11-16
Green Book,Biography,2018,321752656.0,2018-11-16
Instant Family,Comedy,2018,120556201.0,2018-11-16
The Grinch,Animation,2018,512492755.0,2018-11-09
Overlord,Action,2018,41657844.0,2018-11-09
The Girl in the Spider's Web,Action,2018,35164920.0,2018-11-09
Boy Erased,Biography,2018,11853081.0,2018-11-08
The Nutcracker and the Four Realms,Adventure,2018,173961069.0,2018-11-02
Suspiria,Fantasy,2018,7942093.0,2018-11-02
Can You Ever Forgive Me?,Biography,2018,12442161.0,2018-11-02
Bohemian Rhapsody,Biography,2018,911902649.0,2018-11-02
Nobody's Fool,Comedy,2018,33705333.0,2018-11-02
Johnny English Strikes Again,Action,2018,158972499.0,2018-10-26
Hunter Killer,Action,2018,31676128.0,2018-10-26
Border,Crime,2018,2177678.0,2018-10-26
Mid90s,Comedy,2018,9303022.0,2018-10-26
London Fields,Crime,2018,487420.0,2018-10-26
Beautiful Boy,Biography,2018,16636604.0,2018-10-25
The Hate U Give,Crime,2018,34934009.0,2018-10-19
The Old Man & the Gun,Biography,2018,17860397.0,2018-10-19
The Guilty,Crime,2018,4598051.0,2018-10-19
Halloween,Crime,2018,255614941.0,2018-10-19
The Sisters Brothers,Crime,2018,13143056.0,2018-10-19
The House That Jack Built,Crime,2018,3081913.0,2018-10-17
Goosebumps 2: Haunted Halloween,Animation,2018,93320380.0,2018-10-12
First Man,Biography,2018,105713218.0,2018-10-12
Bad Times at the El Royale,Crime,2018,31882724.0,2018-10-12
Andhadhun,Crime,2018,62475342.0,2018-10-05
Venom,Action,2018,856085151.0,2018-10-05
A Star Is Born,Drama,2018,436188866.0,2018-10-05
Never Look Away,Biography,2018,6193234.0,2018-10-03
Hell Fest,Horror,2018,18160930.0,2018-09-28
Smallfoot,Animation,2018,214040103.0,2018-09-28
Night School,Comedy,2018,103105878.0,2018-09-28
The Wife,Drama,2017,19978189.0,2018-09-28
My Hero Academia: Two Heroes,Animation,2018,21022724.0,2018-09-25
Assassination Nation,Action,2018,2584988.0,2018-09-21
Life Itself,Drama,2018,7997774.0,2018-09-21
Little Italy,Comedy,2018,1362536.0,2018-09-21
The House with a Clock in Its Walls,Comedy,2018,131523093.0,2018-09-21
Capharnaüm,Drama,2018,64417003.0,2018-09-20
Climax,Drama,2018,2027391.0,2018-09-19
A Simple Favor,Comedy,2018,97644617.0,2018-09-14
Mandy,Horror,2018,1555203.0,2018-09-14
The Predator,Action,2018,160542134.0,2018-09-14
Becoming Astrid,Biography,2018,962653.0,2018-09-14
White Boy Rick,Crime,2018,25957482.0,2018-09-14
The Nun,Horror,2018,365551694.0,2018-09-07
Peppermint,Action,2018,53918723.0,2018-09-07
The Miseducation of Cameron Post,Drama,2018,1474577.0,2018-09-07
I Want to Eat Your Pancreas,Animation,2018,33748006.0,2018-09-01
Searching,Drama,2018,75462037.0,2018-08-31
Kin,Action,2018,10313019.0,2018-08-31
Operation Finale,Biography,2018,17612099.0,2018-08-29
The Bookshop,Drama,2017,12062146.0,2018-08-24
The Happytime Murders,Action,2018,27506452.0,2018-08-24
Papillon,Adventure,2017,10060903.0,2018-08-24
An Interview with God,Drama,2018,2251795.0,2018-08-21
"Juliet, Naked",Comedy,2018,4511157.0,2018-08-17
Alpha,Action,2018,98203196.0,2018-08-17
The Little Mermaid,Adventure,2018,2614006.0,2018-08-17
Mile 22,Action,2018,66308758.0,2018-08-17
Crazy Rich Asians,Comedy,2018,238539198.0,2018-08-15
American Animals,Biography,2018,4080073.0,2018-08-14
Slender Man,Horror,2018,51738549.0,2018-08-10
BlacKkKlansman,Biography,2018,93413709.0,2018-08-10
The Meg,Action,2018,530259473.0,2018-08-10
Summer of 84,Drama,2018,42027.0,2018-08-10
The Darkest Minds,Action,2018,41142379.0,2018-08-03
Eighth Grade,Comedy,2018,14347433.0,2018-08-03
Christopher Robin,Adventure,2018,197744377.0,2018-08-03
The Spy Who Dumped Me,Action,2018,75339459.0,2018-08-03
Blindspotting,Comedy,2018,5006989.0,2018-07-27
Mission: Impossible - Fallout,Action,2018,791657398.0,2018-07-27
The Captain,Drama,2017,1196669.0,2018-07-27
The Equalizer 2,Action,2018,190400157.0,2018-07-20
Mamma Mia! Here We Go Again,Comedy,2018,395618157.0,2018-07-20
Unfriended: Dark Web,Horror,2018,16024987.0,2018-07-20
Skyscraper,Action,2018,304868961.0,2018-07-13
Sorry to Bother You,Comedy,2018,18170707.0,2018-07-13
Hotel Transylvania 3: Summer Vacation,Animation,2018,528583774.0,2018-07-13
Ant-Man and the Wasp,Action,2018,622674139.0,2018-07-06
Mary Shelley,Biography,2017,2096600.0,2018-07-05
The First Purge,Action,2018,137056262.0,2018-07-04
Leave No Trace,Adventure,2018,7682928.0,2018-06-29
Sicario: Day of the Soldado,Action,2018,75837743.0,2018-06-29
Uncle Drew,Comedy,2018,46664414.0,2018-06-29
The Catcher Was a Spy,Biography,2018,953953.0,2018-06-22
Jurassic World: Fallen Kingdom,Action,2018,1310466296.0,2018-06-22
Incredibles 2,Animation,2018,1244639527.0,2018-06-15
Tag,Action,2018,78130625.0,2018-06-15
Gotti,Biography,2018,6412349.0,2018-06-14
SuperFly,Action,2018,20780685.0,2018-06-13
Hotel Artemis,Action,2018,13313581.0,2018-06-08
Ocean's Eight,Action,2018,297718711.0,2018-06-08
Cold War,Drama,2018,20343051.0,2018-06-08
Hereditary,Drama,2018,80239658.0,2018-06-08
Action Point,Comedy,2018,5103663.0,2018-06-01
Upgrade,Action,2018,16706680.0,2018-06-01
Adrift,Action,2018,59945012.0,2018-06-01
How to Talk to Girls at Parties,Comedy,2017,385733.0,2018-05-25
Solo: A Star Wars Story,Action,2018,392924807.0,2018-05-25
The Man Who Killed Don Quixote,Adventure,2018,2390383.0,2018-05-19
Book Club,Comedy,2018,104438188.0,2018-05-18
On Chesil Beach,Drama,2017,3338249.0,2018-05-18
First Reformed,Drama,2017,3862498.0,2018-05-18
Deadpool 2,Action,2018,786470484.0,2018-05-18
Burning,Drama,2018,7578063.0,2018-05-17
Beast,Crime,2017,1744071.0,2018-05-11
Life of the Party,Comedy,2018,65859911.0,2018-05-11
Revenge,Action,2017,913331.0,2018-05-11
Tully,Comedy,2018,15636462.0,2018-05-04
Bad Samaritan,Crime,2018,4623836.0,2018-05-04
Overboard,Comedy,2018,91244913.0,2018-05-04
Breath,Adventure,2017,3322479.0,2018-05-03
Disobedience,Drama,2017,8003180.0,2018-04-27
Duck Butter,Comedy,2018,6877.0,2018-04-27
Avengers: Infinity War,Action,2018,2048359754.0,2018-04-27
Super Troopers 2,Comedy,2018,31626386.0,2018-04-20
I Feel Pretty,Comedy,2018,94539426.0,2018-04-20
Ghost Stories,Drama,2017,4131358.0,2018-04-20
Borg vs. McEnroe,Biography,2017,3430165.0,2018-04-13
Isle of Dogs,Animation,2018,64337744.0,2018-04-13
Marrowbone,Drama,2017,12294931.0,2018-04-13
The Rider,Drama,2017,3436124.0,2018-04-13
Truth or Dare,Horror,2018,95330710.0,2018-04-13
Rampage,Action,2018,428028233.0,2018-04-13
A Quiet Place,Drama,2018,350320413.0,2018-04-06
You Were Never Really Here,Crime,2017,9360514.0,2018-04-06
The Endless,Drama,2017,956425.0,2018-04-06
Blockers,Comedy,2018,94019120.0,2018-04-06
Lean on Pete,Adventure,2017,2443584.0,2018-04-06
"Don't Worry, He Won't Get Far on Foot",Biography,2018,4241656.0,2018-04-04
The Last Movie Star,Drama,2017,14410.0,2018-03-30
Ready Player One,Action,2018,582893671.0,2018-03-29
Midnight Sun,Drama,2018,27365467.0,2018-03-23
Unsane,Drama,2018,14293601.0,2018-03-23
Pacific Rim: Uprising,Action,2018,290930148.0,2018-03-23
